iteration,score,rank_score
96,9955.752852530806,4216
97,8325.250148484516,3743
98,9861.74007204255,4494
99,6357.563176794426,4522
100,8489.17148986837,4404
101,7853.29551724595,4336
102,7027.671373585929,4065
103,6197.775504726494,3716
104,8966.074209024215,4554
105,6552.801991392018,4135
106,6190.435358393412,3781
107,6385.133310509191,3871
108,6937.508552470325,4354
109,6249.766986574119,3931
110,9935.093136358762,4248
111,7872.248542879885,4006
112,8247.882519496074,4757
113,7799.772085369596,4080
114,6364.673287832602,4078
115,6143.163446714659,3430
116,10935.973330910005,4448
117,11300.891847743625,4723
118,5865.4076224026585,3410
119,6365.079467318855,3483
120,5992.916380001146,4230
121,5935.8810805228,3688
122,7192.370149808143,4276
123,8968.46895012437,4609
124,7079.688065170538,4040
125,7508.1781374668235,4466
126,8328.861149405344,4267
127,8167.7687812945,4745
128,7045.64942052649,3728
129,10268.108400685704,5028
130,6394.209917298514,3606
131,6976.315068361873,4146
132,8428.699059106344,4224
133,6276.8277367356195,3672
134,7452.169984846896,4037
135,7788.930181425834,4400
136,11062.893195540577,4332
137,7245.278653746808,4152
138,6132.180844506241,3776
139,7984.590194677336,4308
140,10962.997232515587,4631
141,9272.543264108353,4084
142,8134.650909174514,3865
143,8040.089649503387,3727
144,8248.414281479532,4419
145,6252.1048850681245,4063
146,6607.127205313023,4154
147,6140.6244757407585,3717
148,6526.944653816721,3833
149,8941.785677819491,4007
150,6125.962673513913,3295
151,7970.541438270398,4118
152,5985.418669593085,4121
153,7678.45045876815,4159
154,7637.943106285647,4439
155,6255.525536433663,3589
156,7911.54771901277,4347
157,8765.415451319324,4120
158,7933.298485013914,3331
159,7467.100013932675,4364
160,10899.71250759186,4481
161,7141.203703717701,4136
162,10622.015472872823,4351
163,8058.392346146502,4290
164,8548.27243689198,4277
165,6826.2515388247075,4017
166,6674.727224542546,3968
167,5355.314901804702,3416
168,7650.755115400263,4304
169,8508.981136807693,4327
170,8212.580051564111,4197
171,8238.261234646445,4632
172,6367.129776229653,4379
173,10308.843315912189,4891
174,7102.432169104757,4204
175,7641.409767348946,4159
176,6233.420984804407,4253
177,8832.333408535103,3918
178,8368.280352476606,3561
179,5552.551082782238,3815
180,5983.866802609539,3665
181,6246.089372137869,3921
182,10212.255437450865,4290
183,7668.700947877816,3855
184,8592.057400106329,4118
185,6223.607605898312,3879
186,8564.674694281288,4092
187,6048.240865193659,4308
188,6133.13092559745,3531
189,6210.971275186025,3536
190,6089.176012147944,4078
191,8391.467343177359,3890
192,7498.753604248791,4121
193,6839.754672605628,3837
194,7570.418323123744,3900
195,7198.904626504861,4416
196,7244.784392421293,3874
197,7158.781237238956,3686
198,8054.816847667804,5100
199,8066.519398958337,4615
200,9345.068413594205,4685
201,5853.240040254922,4023
202,6960.073162897695,4044
203,7748.5869772375945,4535
204,8138.799063679716,4185
205,5881.23327577378,3892
206,7820.057265709398,3785
207,6661.748817310183,3936
208,8099.5679993692565,3944
209,7786.558200629559,4212
210,6740.068963872851,4083
211,7882.982364493376,3797
212,6602.059852991655,4321
213,8463.765921147948,4411
214,9315.531839870255,3896
215,6627.307902356125,4098
216,6054.3948713561895,3587
217,7743.183458879736,4070
218,6624.953971174264,3933
219,7817.216121665155,4531
220,5838.581996831718,4051
221,7901.53907833975,3980
222,8592.552042730626,4023
223,9181.87548803059,4301
224,8101.931559747633,4519
225,10999.723981133824,4627
226,8820.576663799444,4137
227,6986.561149010571,4119
228,9976.710835663023,4437
229,5933.523131743304,3814
230,5495.772676427427,3727
231,8299.538557507785,4352
232,6356.043699583149,4030
233,7915.109122370127,3698
234,8670.71348642389,3778
235,12360.38022523107,4443
236,7166.881360236047,3751
237,8595.650979866605,4097
238,5643.965662257316,3779
239,8183.866954961808,4335
240,6494.297680615873,3951
241,6726.162768598087,3947
242,6256.221412428725,3874
243,11414.361024210917,4281
244,10029.320530423476,4345
245,6729.285549985143,3699
246,8276.991488904892,4270
247,6576.395238374331,3937
248,7554.878467720121,4186
249,7146.212718551465,3848
250,6455.977572827203,3828
251,6132.138798971098,3601
252,6720.71168844316,4192
253,8699.07640807968,3972
254,6298.150232721756,3911
255,7719.531914980562,3973
256,7613.320821070288,4101
257,6721.638996012895,3850
258,6837.226174508541,4181
259,7043.291695458881,4424
260,7709.228060780628,3971
261,8008.819003679338,3660
262,8139.505109901782,4004
263,7387.278532884775,4135
264,6089.504343578989,3696
265,7345.332821424232,4240
266,8281.817264146044,3830
267,8312.04057261646,4446
268,9680.548735998564,4092
269,7504.833500146136,4348
270,7376.241133421477,3954
271,7702.435742830366,4032
272,10371.824486312842,4650
273,5511.940258812494,3641
274,7562.242099385867,4690
275,7089.573907102151,4235
276,6800.848990184454,3476
277,6960.573307173817,3799
278,5372.739075944321,4009
279,6973.173604669697,4343
280,9159.035066387118,4150
281,5070.248126062596,3274
282,6853.234333526389,3697
283,7895.646737482548,3961
284,5693.068547348684,3900
285,8025.183300183233,4436
286,5649.056948410681,3726
287,8199.145401077867,4462
288,8907.29760132662,4458
289,10146.167086875763,3892
290,7622.007327985942,4087
291,8389.846598649083,3930
292,6807.540893684627,4320
293,6626.023171760228,3950
294,5834.390058529077,3695
295,6710.305257032978,3820
296,7494.584391517317,4205
297,8727.676493648181,3883
298,8419.931378923593,4343
299,6768.175157725061,3701
300,8100.759172335175,4361
301,8711.357930333415,4456
302,6273.045558407799,3767
303,8015.340097333328,4202
304,7229.080904579529,4183
305,7674.810821345128,4343
306,5641.431885779059,4152
307,5857.011692918719,3761
308,5738.420467457344,3891
309,6452.357952209163,3748
310,3991.8176774767744,3521
311,8073.434565550686,4014
312,5178.008905457224,3256
313,6719.460722861578,3750
314,5828.74470224848,3948
315,8515.081952687458,4123
316,6292.137717276806,4082
317,8061.443285309649,4210
318,6262.72805687817,4112
319,7963.857274646066,4195
320,7215.893456695419,4070
321,6620.842419805394,3915
322,7728.195033386354,4065
323,10728.724384172692,4223
324,8315.89122491189,4365
325,9906.872426189397,4393
326,6038.508635293405,4017
327,6750.490295428678,3759
328,8647.015875878344,4353
329,7130.256854260747,3974
330,9073.857883793598,4255
331,7436.601196730561,3788
332,7265.8938955152225,3604
333,8290.414434040971,4221
334,7626.580716407185,4174
335,8135.287085092446,4297
336,6584.864392288132,4309
337,6476.360304768158,3686
338,7572.119050002355,3819
339,6120.701344210313,3671
340,5314.30819314704,3982
341,5455.614180977867,4088
342,6254.17215930343,3920
343,7690.682721196332,3925
344,8078.80531837511,3991
345,5881.896446493652,3907
346,6737.903844012004,4183
347,7450.579904444147,4397
348,6487.620035130062,3941
349,7909.182544174085,4223
350,10240.423310933307,4404
351,7623.273374550013,3639
352,7854.146854742903,4101
353,9986.164883651503,4052
354,7474.983792240944,4395
355,9632.529841440328,4370
356,7954.970391536841,4468
357,5633.349006301164,4164
358,7746.401700207191,4476
359,7035.847095781442,4163
360,7893.317741209351,3531
361,8511.259735426353,4518
362,8207.48397715139,4234
363,7802.147014873111,4284
364,6061.687703053728,3320
365,6005.342509713281,2918
366,6239.557928890027,4204
367,8611.519864019283,4407
368,7282.623647555127,3896
369,6328.615980325013,4263
370,8325.389994818255,4223
371,6484.686542941304,4595
372,9573.192314547727,4499
373,6136.903075298326,3650
374,7559.999584468479,4068
375,6189.860222928265,3807
376,7686.496563483342,4123
377,6510.2028834691,4158
378,6771.363260285015,4084
379,7133.565347967171,4592
380,8312.257619017208,4182
381,8237.210541685557,3598
382,5721.210023168622,3749
383,6114.237414383469,3742
384,7834.486997089013,4236
385,8616.486867996426,4594
386,8801.859058940667,4630
387,5927.181754005003,3947
388,10367.71908055868,4585
389,7129.312203647192,3638
390,7294.633759290203,4229
391,7003.248752930827,4682
392,7601.457399823314,4465
393,10835.397217430687,4511
394,8983.759143939562,4047
395,8440.139607536843,3829
396,6680.409647164458,3992
397,8374.614201178338,4226
398,6237.197480401147,3686
399,6592.71790373247,3589
400,7555.141006416502,3796
401,6945.055931273575,4059
402,10046.921210743105,4426
403,6006.94122224792,4123
404,7114.248178341713,3885
405,7021.348091903805,3958
406,7064.326910149054,4403
407,9998.472271551302,4975
408,6580.1605351002645,3787
409,6100.061131182712,3695
410,6169.874124016829,4163
411,5780.076679331193,3261
412,8756.632418465186,3948
413,8484.352501835667,4247
414,6683.813811567864,4323
415,7542.357775085596,4462
416,7156.790954230084,4478
417,6542.670643132751,3715
418,7696.180982839037,4018
419,6717.724804084591,4389
420,10558.608198400168,4587
421,5966.604010320238,4344
422,10614.757139112731,4206
423,10341.595053371657,4330
424,8080.11249069712,4109
425,7671.008819069527,4521
426,5557.16599231319,4045
427,7766.936931497784,4493
428,9482.225695904774,4138
429,6878.581192481355,3232
430,8970.108814878768,4902
431,6134.677095591318,3559
432,6194.544247294346,3821
433,9288.142293915025,4940
434,7187.418360525803,4169
435,7763.047587893349,4053
436,9887.02631448779,4247
437,5888.143774285666,4162
438,6790.97737041693,3941
439,6231.588286154952,4269
440,6237.296438834717,3549
441,6602.220728569384,4197
442,7634.443992699309,4449
443,8187.641746286808,4046
444,7186.128468596182,3687
445,8360.08776166991,4211
446,7999.448806336362,4476
447,6350.946684783004,4133
448,6664.967504146059,4109
449,9257.093267431155,4521
450,7345.847808863068,3822
451,8368.73523467926,3929
452,5954.139008403038,4583
453,8048.684818609543,4241
454,6323.85824435443,3431
455,6088.46235737342,4055
456,6517.50987425448,3658
457,7987.463139238469,4494
458,6940.986259382942,4075
459,7026.489448998992,3963
460,7232.215013184771,4014
461,9137.216344707727,4449
462,9899.194201606533,4704
463,7825.641426764766,4138
464,7771.8619000179515,3824
465,5402.556217129703,4031
466,6145.51031867823,3497
467,8587.903805774738,4505
468,8220.706354153588,3800
469,6371.894975105073,4033
470,5486.481089371314,3698
471,8159.321372255483,3847
472,6420.2837531149735,4024
473,7978.765029078236,3984
474,10164.807897001789,4020
475,7883.43190907196,3958
476,8567.110193075354,4393
477,7455.204960790356,3946
478,7986.771372970427,4474
479,6110.445040490467,4289
480,8845.493684699604,4360
481,6345.139541821851,4192
482,8231.524952096293,3966
483,6048.26739830027,4008
484,8019.261145825365,3990
485,4975.63885578262,3350
486,5731.163641908436,4044
487,5588.20315291969,3775
488,6103.09414912965,3899
489,8621.012527694505,4409
490,7528.836951712294,3931
491,7722.76708562298,4043
492,10807.684207686842,4688
493,6687.598765195517,3650
494,5791.361208784643,4207
495,7503.535338247853,4216
496,7623.834037462234,3883
497,6577.8088337524005,3668
498,8119.443510730993,4052
499,5781.629064750301,3581
500,6806.065924731152,4372
501,7534.608136959305,4152
502,8295.64674145972,4092
503,6954.445255492917,4215
504,9096.524738327706,4564
505,6182.9136451990835,3921
506,7488.6262682692295,3800
507,5673.980457332832,4164
508,6289.160873926958,3883
509,7978.738970899211,3953
510,6355.245597956893,3988
511,7766.0241949464,3819
512,8575.195059815582,4280
513,10796.288288728698,4825
514,7975.099661825562,4462
515,9013.020590033619,4601
516,7849.626272895085,4135
517,5393.010546113075,3770
518,5904.022303600916,3561
519,7815.802030897397,4461
520,6850.125433365199,3771
521,9921.213156239744,4008
522,7690.201364931855,4402
523,7487.470126106902,3851
524,6073.1199050635905,4053
525,7965.788666624625,4598
526,7121.257981447408,4472
527,8055.956261957056,4278
528,7493.439455066633,4027
529,6810.210612075933,3758
530,4673.5515310188,3497
531,6427.664731360777,4364
532,8712.527519771389,4295
533,7264.056223870817,4295
534,8022.878642054074,4369
535,10036.11212632164,4386
536,7922.463322396928,3903
537,7308.603048465841,4081
538,6683.692153295505,4133
539,6072.049436890669,3945
540,6512.509371090946,4183
541,7873.100723005566,4263
542,6556.162677264208,3545
543,9918.43180454243,4131
544,6680.278416788028,3672
545,9054.780484622663,4200
546,7898.436915082336,4097
547,8736.979443128175,4142
548,8452.931047741438,4056
549,10336.772060780018,4053
550,6473.527164234889,4073
551,5210.070238929086,3440
552,7375.217531936302,3980
553,6916.777049003778,4772
554,6313.107944378937,4292
555,5841.6697537314,3776
556,7908.167912422103,4295
557,6895.721400390732,4383
558,8372.120937874479,4066
559,8614.561988204487,4402
560,6339.209334021652,3487
561,5926.794318131767,3488
562,8493.719050235082,3929
563,6222.82968696707,3784
564,6671.240198441829,4485
565,5607.657800778713,3172
566,8294.296776541474,4164
567,6905.854835876619,3724
568,5871.533824190933,3806
569,5931.50454524713,4127
570,8130.604176612882,4635
571,6009.590439180216,4449
572,8591.538305383456,4455
573,6747.760534463841,4549
574,7613.29932938379,4663
575,6630.937244084848,4012
576,7586.4913763293,4249
577,9799.441155367822,4354
578,6066.16373214222,4153
579,7019.589972420049,4114
580,6553.116610120126,4040
581,7589.462351463547,3902
582,5809.246804334135,3762
583,9542.54904191384,4447
584,8883.122057112249,4788
585,7841.307912272265,4649
586,7377.072284873565,4018
587,11993.545311459962,4665
588,8218.584253290283,4237
589,7988.032603736633,4067
590,5918.787877956476,4482
591,6407.473229541926,3835
592,9262.498005797032,4224
593,7823.669422589107,4381
594,8010.824702833371,4094
595,10530.90464953501,4448
596,5766.325850613128,4127
597,6168.671328055098,3579
598,9013.692747476274,4013
599,7921.16066274939,4289
600,8511.657177391571,4224
601,7715.6817434892255,4296
602,6880.68103847595,3966
603,7963.588539492322,4169
604,7828.049209126449,4448
605,6598.546689063668,3510
606,6842.136624692424,3633
607,6790.359081610007,4203
608,6156.121973789091,4256
609,6080.901277408635,4274
610,11015.606526388883,4669
611,7757.878325746731,3696
612,6268.704416971465,4100
613,9725.807376466715,4411
614,7873.172607167742,3792
615,5724.542840143163,3910
616,9885.09375175663,4400
617,6683.339248855592,4144
618,7748.630903323835,4330
619,6872.49154840167,4101
620,8543.236158836546,4623
621,7328.2232812730845,4029
622,7561.060995248357,4200
623,9159.08597440937,4187
624,7290.667889877829,4100
625,6591.443644556827,3768
626,9116.079314117615,4558
627,6219.143232942142,4171
628,7694.985292915293,4207
629,6028.302274114267,3800
630,9331.73692273793,3955
631,8283.968960066457,4046
632,10211.827227504707,4415
633,7596.675071448701,4346
634,6333.768952477921,3732
635,5615.896074387335,3181
636,8924.32475876826,3976
637,6147.480529839274,4234
638,8370.01428982138,4372
639,5734.579980842799,3610
640,6761.3230162857635,3844
641,8005.24036387355,4227
642,8810.999432386829,4001
643,6514.627447342704,3803
644,9145.639415569458,4582
645,6013.3752979400015,3932
646,6351.734465835684,4319
647,7432.545833090909,4327
648,7896.017998672249,4360
649,5526.394356467343,4169
650,7937.335600555379,4030
651,6626.01555432094,4062
652,8334.645599218577,4267
653,9683.081835466179,4378
654,6021.649988835515,3975
655,7015.618611060162,4042
656,8615.060883376977,4519
657,6177.502371643872,4027
658,7890.203428691503,4653
659,7099.809738768691,4020
660,8280.614519516703,4283
661,7341.766173716467,4228
662,5627.173857104783,4065
663,9577.043271955172,4868
664,6686.422528083656,4092
665,9252.206468596934,4617
666,6485.702164566468,4177
667,9001.75598530674,4269
668,9334.75605922449,4175
669,11601.030758222201,4944
670,10564.789926699927,4391
671,8635.4545634541,4279
672,10251.016100323603,4503
673,7495.502994814827,4292
674,8589.84403191731,4583
675,9746.975860962815,4344
676,7620.753134366422,4204
677,5676.612453326065,3789
678,5685.298079627317,3485
679,6507.493049123436,4044
680,6242.911599573684,3611
681,6166.1076760012,3897
682,6122.074352834242,3606
683,7645.72457616531,4207
684,10168.212185692195,4306
685,10957.824376521174,4493
686,8615.807138154845,4069
687,6696.171343436883,3492
688,10959.58789013739,4766
689,6194.677085524853,3434
690,6286.305439387578,4175
691,8733.712809641778,4349
692,11064.181914849083,4126
693,8395.335944886538,3819
694,8106.881398762103,4088
695,7104.361617762127,4231
696,6078.447620464514,3757
697,6358.539070498944,4286
698,5932.137648345639,3815
699,10179.8469216575,4266
700,7541.7711757266325,3803
701,5751.146621473892,3652
702,6364.965161773464,3980
703,8580.320668924564,3914
704,6238.448854886683,4169
705,9907.554895890386,4329
706,6731.332000433013,4289
707,7942.656780358913,4319
708,7802.132733186233,4360
709,7399.84340192486,3985
710,4839.841782449695,3811
711,8263.689543800538,4039
712,5872.885762752278,4145
713,6228.110663302335,3565
714,8641.20364110998,4067
715,5609.550671088876,4375
716,7933.232448190923,4295
717,8137.942797360138,4172
718,6405.755104576676,4314
719,7165.613965597895,4004
720,9309.514236787,4662
721,6717.620870929358,4262
722,7726.687615107204,4459
723,9315.135357753268,4816
724,8921.054397522119,4252
725,8452.45854160675,3951
726,7866.1534379569375,4108
727,6299.491077364396,3372
728,8628.969111848515,3882
729,7837.669984356503,4464
730,8299.614500663602,4126
731,5964.350402692318,3315
732,5961.646965867169,3366
733,7579.960122547933,4414
734,7234.736444531482,4029
735,6874.679955076588,4204
736,7744.225785487374,4357
737,5852.469560356708,3909
738,6657.414486119383,4532
739,5963.006155779351,3657
740,6925.7866329800345,3862
741,7600.862718003145,4041
742,8059.80565185071,4606
743,5857.990984938006,3240
744,6628.903179889102,4464
745,7078.009283879755,4107
746,6937.359662362912,3655
747,7722.108322542175,4173
748,7902.83349302852,4127
749,7001.131814953594,3352
750,5862.483417464148,4071
751,8311.229276687052,4513
752,8130.465173111098,4647
753,5867.654006733632,4032
754,8187.474732865795,4389
755,5714.880915391693,3676
756,8408.508349744,4359
757,8532.744522194556,4316
758,8133.644951696113,4267
759,9093.77485807527,3926
760,8203.108683741855,4123
761,8958.231838172098,4804
762,6547.126499395916,3995
763,6341.645565297141,3732
764,6856.530051396295,3781
765,6225.764097494699,3881
766,10647.013982988718,4220
767,9277.424298162601,4406
768,8486.966801809893,4312
769,8957.8183275467,4259
770,8647.899014409873,4744
771,8682.00242872229,4266
772,8047.272708585446,4058
773,9560.87553189728,3718
774,6291.288398496853,3961
775,7901.37626187495,4445
776,8920.386094798236,4739
777,8607.943888115558,4394
778,7252.975191115747,4504
779,7094.108455273206,4444
780,6485.0510377575165,3745
781,7110.236684095409,4105
782,8606.612422272323,4013
783,6636.629549087533,3878
784,6213.210393676656,4181
785,7816.4476109644365,4251
786,8378.124919443786,4128
787,5977.194263938362,3920
788,6889.089191047274,4091
789,7984.529613790012,4174
790,5812.4041543230005,3843
791,8120.507774290497,4248
792,7242.37500200029,4492
793,6148.557208018786,4060
794,8120.816988483812,4359
795,6079.976395449296,3659
796,5890.018013273081,3403
797,6341.14184377594,4192
798,7906.570311715824,4544
799,8130.917230610927,3643
800,9056.382828574446,4143
801,10148.268576776372,4625
802,6202.398472635554,4043
803,7351.201041617436,4146
804,9470.890839635715,4484
805,4715.53917099338,3787
806,7642.898713831274,4004
807,6490.295425983257,4113
808,8313.24173903606,4322
809,6064.68302045131,4002
810,5915.519892556844,3951
811,8632.130568298717,4125
812,5705.097456160732,3885
813,7091.806777606028,4068
814,5868.758877615608,3973
815,5720.662522145424,3965
816,8102.715204975106,4419
817,6283.181676000454,3805
818,6677.4145960922515,3755
819,5551.757136505342,3263
820,7310.683757124888,4287
821,6366.04471213428,3624
822,5363.009415796761,3790
823,6032.418389511147,3934
824,6798.788921407172,3464
825,10967.59084072549,4526
826,7375.417350187589,3770
827,6440.4609878540405,3498
828,8297.793377032205,4292
829,7293.0530925458415,3928
830,6732.603669118915,4059
831,6018.836119899726,3865
832,9426.397720838697,4741
833,7340.002946217605,4149
834,6466.280497084395,3993
835,7980.119752981509,4032
836,7632.142778119456,4359
837,7713.684674080407,4383
838,9295.638226928739,4608
839,7837.991464213983,4029
840,9820.558741684874,3772
841,5581.474533950601,3983
842,8218.757456518877,3966
843,8408.189560622879,4315
844,6748.12309306153,3887
845,8040.653848598917,3791
846,8207.645808655654,4187
847,9958.898274931664,4191
848,10704.494632890859,4889
849,6471.51673047051,4124
850,6235.171803500409,3487
851,7876.75981512769,3929
852,6489.919998496998,3468
853,8161.838540717265,3609
854,8817.328433077197,4369
855,6275.917151650301,3842
856,7336.634711833566,4127
857,8571.032860179965,4213
858,11674.255709583464,4471
859,5607.557319866816,3604
860,7674.411707226088,4149
861,6532.752828628336,3756
862,7841.212441643057,3893
863,8273.291005623734,4372
864,6498.61424930299,3715
865,8002.427832885462,4471
866,8093.695254737074,4068
867,5957.225093008595,3401
868,11865.100189046263,5132
869,6279.033304399324,4072
870,6749.807164014234,3777
871,8183.666333339681,4243
872,7200.246631561684,3882
873,6684.402621260708,3583
874,5775.048373609547,3778
875,9055.612994040552,4317
876,8232.11043225721,3833
877,6620.816575044724,4058
878,8620.972113695647,4227
879,5754.494203623281,3884
880,7634.931398647105,4119
881,8035.299858780197,4309
882,5793.167285678557,3834
883,8421.837405875973,4395
884,8241.73338740319,4543
885,5931.094039385135,3825
886,7626.2351089817275,4283
887,8576.634418872976,3794
888,6652.103257625026,3941
889,7757.610715839922,4177
890,8420.383027610726,4210
891,5949.027093370558,3869
892,8147.210646406751,4309
893,6128.050119298112,3492
894,11070.952636798014,4316
895,6773.7627767305985,4420
896,7739.389067080325,4204
897,6182.552398753378,4093
898,6299.896024103164,3560
899,6496.436943110429,3939
900,8699.520143700469,4208
901,6623.52365962228,3630
902,8487.461179021675,4079
903,9194.243937165971,4049
904,7898.176597840349,4176
905,6463.685969963561,4230
906,8037.530147501521,4393
907,6564.241114272902,4304
908,7314.8748449998375,3724
909,8857.420582111463,4070
910,6285.888675457419,3614
911,7511.407072052072,3930
912,6809.464510384005,3914
913,6545.840291770909,4334
914,7413.083161080836,4054
915,10398.072760664749,4468
916,6018.0947862009925,3788
917,5986.708947434237,3934
918,9520.574073788517,4422
919,6244.951889642119,3578
920,8846.44051861765,4299
921,10684.747755199947,4310
922,7641.562109249568,4701
923,9779.514418872834,4352
924,6711.839234521204,3991
925,7102.354038146338,3672
926,9768.087134341644,4333
927,7161.316690042712,3824
928,6882.291590317382,3928
929,7794.76003342373,4090
930,10804.431275767372,4060
931,7745.973469025583,4048
932,6047.754068690743,4157
933,6406.088567100069,4182
934,12264.46917291521,4697
935,5916.228855424213,3743
936,9283.126132967209,3954
937,6917.28466798038,4065
938,10932.159758797066,4573
939,6750.35152472381,3932
940,6917.466742403648,3961
941,7341.042243163644,4107
942,6168.926355195845,3768
943,8063.030374629986,3974
944,8408.266496906734,3752
945,11088.068224459425,4488
946,9958.008964261702,4460
947,7809.911477994524,4600
948,5680.024067619921,3836
949,8384.635589478628,4725
950,6316.407805625441,4012
951,8567.848948672618,4092
952,7128.747512323291,3953
953,6579.82560222541,4030
954,6093.510444714924,3891
955,7131.033762879961,4020
956,7486.179984967686,4137
957,8054.433979663516,4092
958,6510.868808932281,3720
959,9204.42089184044,4130
960,6388.859586989699,3902
961,7691.789241979332,4026
962,5417.015012845981,4137
963,8301.582854265693,4384
964,8830.749073996067,4748
965,11200.648633346242,4313
966,8971.527316216514,4508
967,6833.047565110802,3797
968,6781.64340290708,3693
969,8229.499584090689,4286
970,8356.135923043357,4310
971,8204.493786860861,4283
972,7586.629231844755,4363
973,6396.708672203658,4153
974,7392.9778853798,3744
975,7782.997873279974,4076
976,8224.058472446173,4394
977,8113.447291335903,3908
978,6006.436200848765,4185
979,5884.264146566361,4109
980,6197.209822397326,4260
981,7958.524330329252,4502
982,6053.544417266805,4152
983,5930.031484957563,3076
984,6037.344623611,3712
985,6383.137349443076,4286
986,8349.914043082614,3951
987,7471.148137380316,4256
988,10054.50976797967,4680
989,7416.309849987701,4379
990,6385.250784325718,3741
991,7975.508683045664,3994
992,6938.387255736694,3906
993,9129.394674429226,4641
994,8257.331804585414,3914
995,6156.307068327165,3802
996,7555.784792416959,3940
997,7972.57736468008,4147
998,10211.492258142549,4536
999,6895.069733283395,3930
1000,8232.081737054075,4140
1001,7673.475333005606,3974
1002,10493.479934455174,4381
1003,6136.480693751094,3602
1004,6882.215695035888,3905
1005,6314.609626622807,4001
1006,6992.956388460442,3912
1007,6593.969587548521,4384
1008,3967.373588183431,3394
1009,5992.4157236279425,3862
1010,8638.657516973459,3943
1011,9831.371057288383,4733
1012,6254.420533881976,3704
1013,5825.2710560936985,4069
1014,8192.096916444792,3733
1015,9241.509834801902,4174
1016,8728.655788775657,4116
1017,6225.689081205223,3718
1018,7811.355003366275,4089
1019,10709.876135982848,4672
1020,8165.827466727337,3889
1021,5382.9508101171405,3706
1022,8836.55370172776,4392
1023,5607.46866917687,3606
1024,7160.38655881266,3545
1025,11580.512424843422,4266
1026,5887.690933838681,3749
1027,7946.946119324075,4489
1028,7323.669432564184,3503
1029,5964.219962357442,3565
1030,8025.778236657024,4470
1031,5690.161553305423,4016
1032,10472.332734207223,4779
1033,10694.100759516596,4147
1034,6813.8607609565,3798
1035,6367.749639783222,3720
1036,8397.827677133768,4475
1037,5870.954542730651,3946
1038,8810.22497664566,4101
1039,7919.3022426058615,4242
1040,6013.176203431965,3684
1041,8766.646002167121,4088
1042,7245.423479291386,4209
1043,6377.628303901429,3926
1044,5966.612538303056,3739
1045,7502.381649000353,4476
1046,7761.868059157709,4594
1047,8695.037466211408,4033
1048,9063.228970040327,4114
1049,5808.895988486536,3935
1050,7631.300572712427,3733
1051,10546.614395001023,4500
1052,9166.417390189363,4207
1053,6245.466520599251,4286
1054,7739.034987311532,3902
1055,7977.137039427127,4296
1056,6287.464255428809,3939
1057,7448.630585992946,3958
1058,6151.731875676785,3862
1059,6719.4614636434,4219
1060,8146.493426851858,4010
1061,7750.291918534324,4662
1062,7843.664165247954,4284
1063,7640.887745985215,3748
1064,7074.381405184204,3928
1065,8249.350215180726,3952
