player_name,sample_size,DG_odds,bet365_odds,bet365_ev,betfair_odds,betfair_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,whill_odds,whill_ev,caesars_odds,caesars_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,bovada_odds,bovada_ev,betway_odds,betway_ev,betcris_odds,betcris_ev,pinnacle_odds,pinnacle_ev,Timestamp
"Bradley, Keegan",150,8222.0,6000.0,-0.267,5000,-0.387,6000,-0.267,5500.0,-0.327,5500,-0.327,5500.0,-0.327,6000,-0.267,5500,-0.327,6000,-0.267,5000,-0.387,7000.0,-0.147,6000,-0.267,5000,-0.387,6550,-0.201,5988.0,-0.268,2025-02-11 01:47:20 PM EST
"Henley, Russell",150,5647.0,4500.0,-0.2,4500,-0.2,6000,0.061,4000.0,-0.287,3300,-0.408,5500.0,-0.026,6000,0.061,4500,-0.2,5500,-0.026,4500,-0.2,6000.0,0.061,5000,-0.113,4000,-0.287,5054,-0.103,5534.0,-0.02,2025-02-11 01:47:20 PM EST
"Finau, Tony",150,9562.0,4000.0,-0.576,3500,-0.627,4000,-0.576,4000.0,-0.576,4500,-0.524,4500.0,-0.524,4000,-0.576,3300,-0.648,3500,-0.627,3500,-0.627,5000.0,-0.472,4000,-0.576,3300,-0.648,5750,-0.395,4944.0,-0.478,2025-02-11 01:47:20 PM EST
"Kim, Si Woo",150,7582.0,7500.0,-0.011,6000,-0.206,8000,0.054,8000.0,0.054,6600,-0.128,7000.0,-0.076,8000,0.054,7000,-0.076,8000,0.054,7500,-0.011,9000.0,0.185,7500,-0.011,6600,-0.128,7756,0.023,8817.0,0.161,2025-02-11 01:47:20 PM EST
"Poston, J.T.",150,7805.0,7500.0,-0.039,6600,-0.152,8000,0.025,8000.0,0.025,6600,-0.152,7500.0,-0.039,8000,0.025,7000,-0.102,8000,0.025,7500,-0.039,10000.0,0.278,9000,0.151,6600,-0.152,7556,-0.032,8047.0,0.031,2025-02-11 01:47:20 PM EST
"Hovland, Viktor",150,9364.0,5500.0,-0.408,4000,-0.567,5500,-0.408,5000.0,-0.461,5500,-0.408,5000.0,-0.461,5500,-0.408,4500,-0.514,4500,-0.514,5000,-0.461,5500.0,-0.408,4500,-0.514,4000,-0.567,6053,-0.35,6234.0,-0.331,2025-02-11 01:47:20 PM EST
"Zalatoris, Will",150,9933.0,4500.0,-0.542,4000,-0.591,5000,-0.492,4500.0,-0.542,4500,-0.542,4500.0,-0.542,5000,-0.492,3500,-0.641,5000,-0.492,4000,-0.591,5500.0,-0.442,4000,-0.591,3300,-0.661,6750,-0.317,5905.0,-0.402,2025-02-11 01:47:20 PM EST
"An, Byeong Hun",150,11199.0,7500.0,-0.327,6000,-0.46,7500,-0.327,7000.0,-0.372,8000,-0.283,7000.0,-0.372,7500,-0.327,6600,-0.407,7500,-0.327,6000,-0.46,9000.0,-0.195,9000,-0.195,5000,-0.549,8056,-0.278,8550.0,-0.234,2025-02-11 01:47:20 PM EST
"Scott, Adam",150,12220.0,6600.0,-0.456,5500,-0.545,7500,-0.383,6600.0,-0.456,7000,-0.424,7000.0,-0.424,7500,-0.383,6600,-0.456,7500,-0.383,7000,-0.424,8000.0,-0.343,6000,-0.505,6600,-0.456,6855,-0.435,7088.0,-0.417,2025-02-11 01:47:20 PM EST
"Stevens, Samuel",150,11178.0,7000.0,-0.37,7000,-0.37,8000,-0.282,7000.0,-0.37,7000,-0.37,7500.0,-0.326,8000,-0.282,7000,-0.37,7500,-0.326,6600,-0.406,9000.0,-0.193,7000,-0.37,6600,-0.406,9350,-0.162,9050.0,-0.189,2025-02-11 01:47:20 PM EST
"Clark, Wyndham",150,12558.0,6600.0,-0.471,5000,-0.597,7000,-0.439,6600.0,-0.471,6000,-0.518,6000.0,-0.518,7000,-0.439,6000,-0.518,6500,-0.479,7500,-0.4,7500.0,-0.4,6000,-0.518,6600,-0.471,6055,-0.514,7359.0,-0.411,2025-02-11 01:47:20 PM EST
"Thompson, Davis",150,8233.0,9000.0,0.092,8000,-0.028,10000,0.212,9000.0,0.092,10000,0.212,8000.0,-0.028,10000,0.212,8000,-0.028,10000,0.212,10000,0.212,9000.0,0.092,10000,0.212,8000,-0.028,6855,-0.165,8047.0,-0.022,2025-02-11 01:47:20 PM EST
"Theegala, Sahith",150,10929.0,7500.0,-0.311,7500,-0.311,8000,-0.266,7000.0,-0.356,7000,-0.356,7500.0,-0.311,8000,-0.266,6600,-0.393,8000,-0.266,7000,-0.356,10000.0,-0.084,7500,-0.311,6600,-0.393,7256,-0.333,8750.0,-0.198,2025-02-11 01:47:20 PM EST
"Young, Cameron",150,12831.0,6000.0,-0.528,5000,-0.606,7000,-0.451,6000.0,-0.528,6000,-0.528,6000.0,-0.528,7000,-0.451,5000,-0.606,5000,-0.606,6000,-0.528,7500.0,-0.412,5500,-0.567,5000,-0.606,7356,-0.423,7646.0,-0.401,2025-02-11 01:47:20 PM EST
"Davis, Cameron",150,12271.0,8000.0,-0.345,7500,-0.386,10000,-0.184,8000.0,-0.345,10000,-0.184,9000.0,-0.264,10000,-0.184,8000,-0.345,7000,-0.426,9000,-0.264,11000.0,-0.103,8000,-0.345,8000,-0.345,10050,-0.18,10056.0,-0.179,2025-02-11 01:47:20 PM EST
"Spieth, Jordan",150,11073.0,4000.0,-0.633,3500,-0.678,4000,-0.633,3500.0,-0.678,4000,-0.633,4000.0,-0.633,4000,-0.633,3500,-0.678,3000,-0.723,3500,-0.678,5500.0,-0.499,4000,-0.633,3300,-0.696,5954,-0.458,6009.0,-0.453,2025-02-11 01:47:20 PM EST
"Greyserman, Max",150,12374.0,9000.0,-0.27,7500,-0.391,9000,-0.27,9000.0,-0.27,8000,-0.351,8000.0,-0.351,9000,-0.27,8000,-0.351,9000,-0.27,9000,-0.27,11500.0,-0.07,10000,-0.19,8000,-0.351,12560,0.015,11567.0,-0.065,2025-02-11 01:47:20 PM EST
"Spaun, J.J.",150,11924.0,9000.0,-0.243,7500,-0.368,10000,-0.16,10000.0,-0.16,8000,-0.326,9000.0,-0.243,10000,-0.16,8000,-0.326,10000,-0.16,10000,-0.16,13500.0,0.131,10000,-0.16,8000,-0.326,12250,0.027,11567.0,-0.03,2025-02-11 01:47:20 PM EST
"Bhatia, Akshay",150,10227.0,7000.0,-0.312,6600,-0.351,9000,-0.119,6600.0,-0.351,8000,-0.216,7500.0,-0.264,9000,-0.119,6000,-0.409,7500,-0.264,7000,-0.312,9000.0,-0.119,7500,-0.264,6600,-0.351,7256,-0.288,9546.0,-0.066,2025-02-11 01:47:20 PM EST
"Hughes, Mackenzie",150,16754.0,11000.0,-0.341,9000,-0.46,12500,-0.252,12500.0,-0.252,12500,-0.252,11000.0,-0.341,12000,-0.282,12500,-0.252,10000,-0.401,12500,-0.252,13500.0,-0.193,15000,-0.104,10000,-0.401,13380,-0.2,13072.0,-0.218,2025-02-11 01:47:20 PM EST
"Conners, Corey",150,10069.0,9000.0,-0.105,8000,-0.204,10000,-0.007,7000.0,-0.302,8000,-0.204,9000.0,-0.105,10000,-0.007,8000,-0.204,10000,-0.007,6600,-0.341,11500.0,0.141,9000,-0.105,6600,-0.341,10058,-0.001,10056.0,-0.001,2025-02-11 01:47:20 PM EST
"McCarthy, Denny",150,9984.0,11000.0,0.101,8000,-0.197,11000,0.101,10000.0,0.002,6600,-0.336,10000.0,0.002,11000,0.101,10000,0.002,10000,0.002,10000,0.002,13500.0,0.349,9000,-0.098,10000,0.002,9057,-0.092,9555.0,-0.043,2025-02-11 01:47:20 PM EST
"Woodland, Gary",150,17393.0,10000.0,-0.423,8000,-0.537,12500,-0.28,11000.0,-0.365,9000,-0.48,10000.0,-0.423,12000,-0.308,9000,-0.48,12500,-0.28,10000,-0.423,11500.0,-0.337,7500,-0.566,8000,-0.537,13550,-0.22,11953.0,-0.311,2025-02-11 01:47:20 PM EST
"Berger, Daniel",150,10672.0,7500.0,-0.294,7000,-0.341,9000,-0.155,6600.0,-0.378,9000,-0.155,8000.0,-0.248,9000,-0.155,7000,-0.341,8000,-0.248,8000,-0.248,9000.0,-0.155,6000,-0.434,6600,-0.378,10558,-0.011,10056.0,-0.057,2025-02-11 01:47:20 PM EST
"Fitzpatrick, Matt",150,11688.0,10000.0,-0.143,7500,-0.355,11000,-0.058,9000.0,-0.228,9000,-0.228,9000.0,-0.228,11000,-0.058,9000,-0.228,10000,-0.143,10000,-0.143,10000.0,-0.143,10000,-0.143,8000,-0.313,7055,-0.393,11065.0,-0.053,2025-02-11 01:47:20 PM EST
"Kim, Michael",150,16613.0,10000.0,-0.396,8000,-0.515,12500,-0.246,10000.0,-0.396,10000,-0.396,11000.0,-0.336,12000,-0.276,10000,-0.396,12500,-0.246,12500,-0.246,15000.0,-0.097,10000,-0.396,10000,-0.396,12059,-0.272,12069.0,-0.272,2025-02-11 01:47:20 PM EST
"Eckroat, Austin",150,12145.0,12500.0,0.029,9000,-0.257,12500,0.029,12500.0,0.029,10000,-0.175,11000.0,-0.094,12000,-0.012,12500,0.029,12500,0.029,12500,0.029,15500.0,0.274,10000,-0.175,10000,-0.175,11059,-0.089,11567.0,-0.047,2025-02-11 01:47:20 PM EST
"Griffin, Ben",150,12452.0,14000.0,0.123,9000,-0.275,15000,0.203,12500.0,0.004,10000,-0.195,12000.0,-0.036,15000,0.203,12500,0.004,10000,-0.195,12500,0.004,16500.0,0.322,15000,0.203,12500,0.004,10851,-0.128,13072.0,0.049,2025-02-11 01:47:20 PM EST
