player_name,sample_size,DG_odds,bet365_odds,bet365_ev,betfair_odds,betfair_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,whill_odds,whill_ev,caesars_odds,caesars_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,bovada_odds,bovada_ev,betway_odds,betway_ev,betcris_odds,betcris_ev,pinnacle_odds,pinnacle_ev,Timestamp
"Putnam, Andrew",150,16073.0,12500.0,-0.221,10000,-0.375,15000,-0.066,12500.0,-0.221,8000,-0.499,12000.0,-0.252,15000,-0.066,12500.0,-0.221,15000.0,-0.066,12500.0,-0.221,11000.0,-0.314,12500.0,-0.221,12500,-0.221,18631.0,0.158,,0.0,2025-02-24 10:47:48 PM EST
"Hubbard, Mark",150,23710.0,15000.0,-0.366,10000,-0.576,15000,-0.366,15000.0,-0.366,10000,-0.576,12000.0,-0.492,15000,-0.366,12500.0,-0.471,15000.0,-0.366,12500.0,-0.471,18500.0,-0.219,12500.0,-0.471,12500,-0.471,12609.0,-0.466,,0.0,2025-02-24 10:47:48 PM EST
"Cummins, Quade",150,20879.0,15000.0,-0.28,10000,-0.519,17500,-0.161,17500.0,-0.161,17500,-0.161,15000.0,-0.28,17000,-0.185,17500.0,-0.161,17500.0,-0.161,17500.0,-0.161,18500.0,-0.113,12500.0,-0.399,12500,-0.399,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Hoge, Tom",150,26927.0,10000.0,-0.626,10000,-0.626,12500,-0.534,8000.0,-0.7,9000,-0.663,11000.0,-0.589,12000,-0.552,10000.0,-0.626,10000.0,-0.626,10000.0,-0.626,12500.0,-0.534,10000.0,-0.626,10000,-0.626,12615.0,-0.53,,0.0,2025-02-24 10:47:48 PM EST
"Silverman, Ben",150,24094.0,15000.0,-0.376,10000,-0.583,17500,-0.273,15000.0,-0.376,15000,-0.376,15000.0,-0.376,17000,-0.293,15000.0,-0.376,15000.0,-0.376,15000.0,-0.376,18500.0,-0.231,15000.0,-0.376,15000,-0.376,17631.0,-0.267,,0.0,2025-02-24 10:47:48 PM EST
"Mullinax, Trey",150,33420.0,22500.0,-0.326,12500,-0.624,17500,-0.475,20000.0,-0.4,17500,-0.475,15000.0,-0.55,17000,-0.49,15000.0,-0.55,17500.0,-0.475,17500.0,-0.475,,0.0,15000.0,-0.55,15000,-0.55,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Perez, Victor",150,25432.0,15000.0,-0.409,10000,-0.604,12500,-0.507,15000.0,-0.409,15000,-0.409,12000.0,-0.526,12000,-0.526,12500.0,-0.507,12500.0,-0.507,15000.0,-0.409,15000.0,-0.409,10000.0,-0.604,10000,-0.604,13650.0,-0.461,,0.0,2025-02-24 10:47:48 PM EST
"Lee, Kyounghoon",150,26567.0,11000.0,-0.584,10000,-0.621,15000,-0.434,12500.0,-0.528,12500,-0.528,12000.0,-0.546,15000,-0.434,10000.0,-0.621,15000.0,-0.434,12500.0,-0.528,13500.0,-0.49,10000.0,-0.621,10000,-0.621,16632.0,-0.373,,0.0,2025-02-24 10:47:48 PM EST
"Thorbjornsen, Michael",150,28069.0,15000.0,-0.464,9000,-0.677,11000,-0.606,15000.0,-0.464,15000,-0.464,10000.0,-0.641,11000,-0.606,12500.0,-0.553,12500.0,-0.553,15000.0,-0.464,12500.0,-0.553,10000.0,-0.641,8000,-0.712,15081.0,-0.461,,0.0,2025-02-24 10:47:48 PM EST
"Castillo, Ricky",150,22372.0,17500.0,-0.217,12500,-0.439,20000,-0.106,15000.0,-0.328,17500,-0.217,15000.0,-0.328,20000,-0.106,15000.0,-0.328,20000.0,-0.106,17500.0,-0.217,18500.0,-0.172,15000.0,-0.328,15000,-0.328,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Gotterup, Chris",150,27423.0,20000.0,-0.27,12500,-0.542,17500,-0.361,20000.0,-0.27,15000,-0.451,15000.0,-0.451,17000,-0.379,20000.0,-0.27,17500.0,-0.361,17500.0,-0.361,,0.0,20000.0,-0.27,15000,-0.451,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Whaley, Vince",150,32158.0,20000.0,-0.377,12500,-0.609,20000,-0.377,25000.0,-0.222,20000,-0.377,17000.0,-0.47,20000,-0.377,15000.0,-0.532,20000.0,-0.377,20000.0,-0.377,,0.0,15000.0,-0.532,15000,-0.532,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Fisk, Steven",150,26332.0,25000.0,-0.05,17500,-0.334,25000,-0.05,20000.0,-0.24,15000,-0.429,20000.0,-0.24,25000,-0.05,20000.0,-0.24,25000.0,-0.05,15000.0,-0.429,,0.0,20000.0,-0.24,20000,-0.24,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Van Rooyen, Erik",150,24490.0,10000.0,-0.589,9000,-0.63,11000,-0.549,9000.0,-0.63,12500,-0.488,10000.0,-0.589,11000,-0.549,10000.0,-0.589,10000.0,-0.589,10000.0,-0.589,12500.0,-0.488,10000.0,-0.589,8000,-0.671,12569.0,-0.485,,0.0,2025-02-24 10:47:48 PM EST
"Norlander, Henrik",150,23429.0,20000.0,-0.146,15000,-0.358,25000,0.067,17500.0,-0.252,15000,-0.358,20000.0,-0.146,25000,0.067,20000.0,-0.146,25000.0,0.067,15000.0,-0.358,,0.0,15000.0,-0.358,20000,-0.146,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Manassero, Matteo",150,32158.0,17500.0,-0.454,10000,-0.687,25000,-0.222,15000.0,-0.532,17500,-0.454,17000.0,-0.47,22000,-0.315,10000.0,-0.687,17500.0,-0.454,20000.0,-0.377,12500.0,-0.609,12500.0,-0.609,10000,-0.687,18640.0,-0.419,,0.0,2025-02-24 10:47:48 PM EST
"Martin, Ben",150,39900.0,15000.0,-0.623,12500,-0.685,17500,-0.56,17500.0,-0.56,17500,-0.56,15000.0,-0.623,17000,-0.573,15000.0,-0.623,17500.0,-0.56,20000.0,-0.497,18500.0,-0.535,15000.0,-0.623,15000,-0.623,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"List, Luke",150,45013.0,22500.0,-0.499,15000,-0.665,25000,-0.444,30000.0,-0.333,20000,-0.554,20000.0,-0.554,22000,-0.51,20000.0,-0.554,22500.0,-0.499,22500.0,-0.499,,0.0,20000.0,-0.554,20000,-0.554,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Schmid, Matthias",150,32509.0,20000.0,-0.384,15000,-0.537,20000,-0.384,25000.0,-0.23,17500,-0.46,17000.0,-0.476,20000,-0.384,17500.0,-0.46,20000.0,-0.384,22500.0,-0.307,,0.0,20000.0,-0.384,15000,-0.537,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Gordon, Will",150,40441.0,30000.0,-0.258,20000,-0.504,30000,-0.258,25000.0,-0.381,17500,-0.566,25000.0,-0.381,30000,-0.258,25000.0,-0.381,30000.0,-0.258,22500.0,-0.443,,0.0,25000.0,-0.381,25000,-0.381,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Capan III, Frankie",150,28069.0,20000.0,-0.286,15000,-0.464,25000,-0.109,20000.0,-0.286,20000,-0.286,17000.0,-0.393,22000,-0.215,17500.0,-0.375,22500.0,-0.198,20000.0,-0.286,21000.0,-0.251,15000.0,-0.464,15000,-0.464,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Kizzire, Patton",150,30669.0,35000.0,0.141,22500,-0.265,35000,0.141,30000.0,-0.022,17500,-0.428,25000.0,-0.184,35000,0.141,25000.0,-0.184,35000.0,0.141,25000.0,-0.184,,0.0,25000.0,-0.184,25000,-0.184,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Lawrence, Thriston",150,24094.0,20000.0,-0.169,15000,-0.376,25000,0.037,25000.0,0.037,25000,0.037,20000.0,-0.169,22000,-0.087,20000.0,-0.169,17500.0,-0.273,25000.0,0.037,,0.0,15000.0,-0.376,15000,-0.376,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Norrman, Vincent",150,32687.0,22500.0,-0.311,20000,-0.387,30000,-0.082,25000.0,-0.234,20000,-0.387,20000.0,-0.387,27000,-0.173,20000.0,-0.387,27500.0,-0.158,22500.0,-0.311,23500.0,-0.28,17500.0,-0.463,20000,-0.387,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"McCarty, Matt",150,28202.0,20000.0,-0.29,15000,-0.466,25000,-0.113,20000.0,-0.29,17500,-0.378,17000.0,-0.396,22000,-0.219,15000.0,-0.466,22500.0,-0.201,20000.0,-0.29,18500.0,-0.343,15000.0,-0.466,15000,-0.466,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Ramey, Chad",150,28471.0,25000.0,-0.121,17500,-0.384,30000,0.054,25000.0,-0.121,17500,-0.384,20000.0,-0.296,27000,-0.051,25000.0,-0.121,27500.0,-0.034,25000.0,-0.121,,0.0,25000.0,-0.121,25000,-0.121,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Young, Carson",150,32158.0,20000.0,-0.377,17500,-0.454,25000,-0.222,20000.0,-0.377,20000,-0.377,20000.0,-0.377,25000,-0.222,20000.0,-0.377,25000.0,-0.222,17500.0,-0.454,23500.0,-0.268,20000.0,-0.377,20000,-0.377,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Pavon, Matthieu",150,34988.0,25000.0,-0.285,17500,-0.498,25000,-0.285,20000.0,-0.427,15000,-0.57,20000.0,-0.427,25000,-0.285,20000.0,-0.427,25000.0,-0.285,22500.0,-0.356,,0.0,20000.0,-0.427,20000,-0.427,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Garnett, Brice",150,38861.0,25000.0,-0.356,17500,-0.548,30000,-0.227,15000.0,-0.612,20000,-0.484,20000.0,-0.484,27000,-0.304,20000.0,-0.484,15000.0,-0.612,25000.0,-0.356,,0.0,25000.0,-0.356,20000,-0.484,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Hoshino, Rikuya",150,34582.0,35000.0,0.012,22500,-0.348,35000,0.012,40000.0,0.156,35000,0.012,25000.0,-0.276,35000,0.012,30000.0,-0.132,35000.0,0.012,25000.0,-0.276,,0.0,25000.0,-0.276,25000,-0.276,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Higgs, Harry",150,57043.0,50000.0,-0.123,27500,-0.517,40000,-0.298,50000.0,-0.123,35000,-0.386,30000.0,-0.473,40000,-0.298,35000.0,-0.386,40000.0,-0.298,35000.0,-0.386,,0.0,50000.0,-0.123,40000,-0.298,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Simpson, Webb",150,56504.0,25000.0,-0.557,17500,-0.689,25000,-0.557,25000.0,-0.557,15000,-0.733,20000.0,-0.645,25000,-0.557,20000.0,-0.645,25000.0,-0.557,22500.0,-0.601,,0.0,20000.0,-0.645,20000,-0.645,,0.0,,0.0,2025-02-24 10:47:48 PM EST
