player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Woodland, Gary",PGA Tour,103,-10,180,-6,0.317
"Smith, Jordan",DP World Tour,104,-4,107,-3,0.315
"Vegas, Jhonattan",PGA Tour,105,-16,65,-3,0.314
"Fishburn, Patrick",PGA Tour,106,-4,111,2,0.312
"Hughes, Mackenzie",PGA Tour,107,-27,67,-3,0.31
"Yu, Kevin",PGA Tour,108,-2,76,-5,0.298
"Kim, Chan",PGA Tour,109,11,160,5,0.278
"Wallace, Matt",DP World Tour,110,-2,78,-3,0.264
"Kanaya, Takumi",Other Tours,111,-2,159,-4,0.264
"Parry, John",DP World Tour,112,1,93,-2,0.254
"Herbert, Lucas",LIV Golf,113,-12,269,-2,0.237
"Hoffman, Charley",PGA Tour,114,20,100,1,0.225
"Lahiri, Anirban",LIV Golf,115,-1,null,0,0.211
"Knapp, Jake",PGA Tour,116,39,89,10,0.207
"Uihlein, Peter",LIV Golf,117,0,146,-2,0.206
"Echavarria, Nicolas",PGA Tour,118,-3,47,-1,0.204
"Cauley, Bud",PGA Tour,119,0,244,9,0.19
"Svensson, Jesper",DP World Tour,120,16,105,3,0.19
"Rose, Justin",PGA Tour,121,1,36,2,0.188
"Roy, Kevin",Korn Ferry Tour,122,-4,207,-3,0.181
"Keefer, John",Korn Ferry Tour,123,-12,158,3,0.176
"Cole, Eric",PGA Tour,124,-14,62,-4,0.175
"Cummins, Quade",Korn Ferry Tour,125,17,255,4,0.161
"Hadwin, Adam",PGA Tour,126,1,74,-5,0.16
"Norris, Shaun",Other Tours,127,21,103,3,0.152
"Svensson, Adam",PGA Tour,128,-3,149,-4,0.148
"Van Rooyen, Erik",PGA Tour,129,38,84,3,0.145
"Guerrier, Julien",DP World Tour,130,-1,125,-3,0.141
"Perez, Victor",PGA Tour,131,25,96,0,0.136
"Fox, Ryan",PGA Tour,132,-1,108,-5,0.136
"Kirk, Chris",PGA Tour,133,-3,75,-3,0.128
"Homa, Max",PGA Tour,134,-1,66,-3,0.124
"Dahmen, Joel",PGA Tour,135,14,173,9,0.122
"Campillo, Jorge",DP World Tour,136,-4,117,-1,0.102
"Griffin, Lanto",PGA Tour,137,0,252,-5,0.1
"Jordan, Matthew",DP World Tour,138,0,126,-3,0.096
"Manassero, Matteo",DP World Tour,139,-4,106,-4,0.094
"Sigg, Greyson",PGA Tour,140,-19,161,1,0.089
