player_name,sample_size,DG_odds,bet365_odds,bet365_ev,betfair_odds,betfair_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,whill_odds,whill_ev,caesars_odds,caesars_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,bovada_odds,bovada_ev,betway_odds,betway_ev,betcris_odds,betcris_ev,pinnacle_odds,pinnacle_ev,Timestamp
"Scheffler, Scottie",150,580.0,450.0,-0.191,400,-0.265,400,-0.265,400.0,-0.265,450,-0.191,400.0,-0.265,400,-0.265,400,-0.265,400,-0.265,450,-0.191,550.0,-0.044,450,-0.191,400,-0.265,535,-0.066,540.0,-0.059,2025-02-12 06:32:55 PM EST
"McIlroy, Rory",150,1231.0,650.0,-0.437,600,-0.474,650,-0.437,700.0,-0.399,700,-0.399,650.0,-0.437,650,-0.437,650,-0.437,650,-0.437,700,-0.399,750.0,-0.361,750,-0.361,600,-0.474,722,-0.382,761.0,-0.353,2025-02-12 06:32:55 PM EST
"Thomas, Justin",150,2262.0,1800.0,-0.196,1700,-0.238,1800,-0.196,1800.0,-0.196,1600,-0.28,1800.0,-0.196,1800,-0.196,1800,-0.196,1400,-0.365,1800,-0.196,2000.0,-0.111,2000,-0.111,1600,-0.28,2048,-0.091,1791.0,-0.199,2025-02-12 06:32:55 PM EST
"Morikawa, Collin",150,1844.0,1400.0,-0.229,1400,-0.229,1600,-0.126,1400.0,-0.229,1400,-0.229,1600.0,-0.126,1600,-0.126,1400,-0.229,1400,-0.229,1400,-0.229,1800.0,-0.023,1400,-0.229,1400,-0.229,1553,-0.15,1704.0,-0.072,2025-02-12 06:32:55 PM EST
"Matsuyama, Hideki",150,3508.0,2000.0,-0.418,2000,-0.418,2200,-0.363,2200.0,-0.363,1800,-0.473,2200.0,-0.363,2200,-0.363,2200,-0.363,2200,-0.363,2500,-0.279,2200.0,-0.363,2200,-0.363,2000,-0.418,2054,-0.403,2343.0,-0.323,2025-02-12 06:32:55 PM EST
"Im, Sungjae",150,3676.0,3300.0,-0.1,3300,-0.1,3500,-0.047,2800.0,-0.232,2800,-0.232,3500.0,-0.047,3500,-0.047,3300,-0.1,3500,-0.047,3300,-0.1,4000.0,0.086,3500,-0.047,2500,-0.311,3557,-0.032,3002.0,-0.178,2025-02-12 06:32:55 PM EST
"Hojgaard, Rasmus",150,4473.0,3500.0,-0.213,3500,-0.213,4000,-0.103,3500.0,-0.213,4000,-0.103,3500.0,-0.213,4000,-0.103,3500,-0.213,3500,-0.213,3500,-0.213,4000.0,-0.103,4000,-0.103,2800,-0.366,4252,-0.048,4100.0,-0.082,2025-02-12 06:32:55 PM EST
"MacIntyre, Robert",150,3905.0,4000.0,0.024,4000,0.024,4500,0.148,4000.0,0.024,4000,0.024,4000.0,0.024,4500,0.148,4000,0.024,4000,0.024,4500,0.148,5000.0,0.273,4500,0.148,3300,-0.151,4855,0.237,4673.0,0.192,2025-02-12 06:32:55 PM EST
"Cantlay, Patrick",150,4158.0,2800.0,-0.319,2500,-0.389,3000,-0.272,2800.0,-0.319,2200,-0.46,3000.0,-0.272,3300,-0.202,2800,-0.319,2800,-0.319,2800,-0.319,3300.0,-0.202,3000,-0.272,2500,-0.389,2757,-0.329,2502.0,-0.389,2025-02-12 06:32:55 PM EST
"Pendrith, Taylor",150,5400.0,3500.0,-0.345,3300,-0.382,3500,-0.345,3300.0,-0.382,3300,-0.382,4000.0,-0.254,4000,-0.254,3300,-0.382,2200,-0.582,3500,-0.345,3500.0,-0.345,3500,-0.345,2800,-0.473,3443,-0.356,3726.0,-0.304,2025-02-12 06:32:55 PM EST
"Kim, Tom",150,4267.0,4000.0,-0.061,4000,-0.061,5000,0.168,4500.0,0.053,4000,-0.061,4500.0,0.053,5000,0.168,4000,-0.061,5000,0.168,4000,-0.061,5500.0,0.282,4000,-0.061,4000,-0.061,5623,0.311,5087.0,0.188,2025-02-12 06:32:55 PM EST
"Aberg, Ludvig",150,4929.0,2500.0,-0.483,2200,-0.543,2200,-0.543,2500.0,-0.483,2000,-0.582,2200.0,-0.543,2200,-0.543,2200,-0.543,1800,-0.622,2200,-0.543,2500.0,-0.483,2000,-0.582,2000,-0.582,2050,-0.573,2431.0,-0.497,2025-02-12 06:32:55 PM EST
